名前,レア度,入手時期,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,スキル系統6,スキル値6,スキル系統7,スキル値7,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,仮番号
強走の護石Ⅰ,0,0,ランナー,1,,,,,,,,,,,,,,,,,,,,,
強走の護石Ⅱ,0,0,ランナー,2,,,,,,,,,,,,,,,,,,,,,
強走の護石Ⅲ,0,0,ランナー,3,,,,,,,,,,,,,,,,,,,,,
体術の護石Ⅰ,0,0,体術,1,,,,,,,,,,,,,,,,,,,,,
体術の護石Ⅱ,0,0,体術,2,,,,,,,,,,,,,,,,,,,,,
体術の護石Ⅲ,0,0,体術,3,,,,,,,,,,,,,,,,,,,,,
体術の護石Ⅳ,0,0,体術,4,,,,,,,,,,,,,,,,,,,,,
体術の護石Ⅴ,0,0,体術,5,,,,,,,,,,,,,,,,,,,,,
納刀の護石Ⅰ,0,0,納刀術,1,,,,,,,,,,,,,,,,,,,,,
納刀の護石Ⅱ,0,0,納刀術,2,,,,,,,,,,,,,,,,,,,,,
納刀の護石Ⅲ,0,0,納刀術,3,,,,,,,,,,,,,,,,,,,,,
挑戦の護石Ⅰ,0,0,挑戦者,1,,,,,,,,,,,,,,,,,,,,,
挑戦の護石Ⅱ,0,0,挑戦者,2,,,,,,,,,,,,,,,,,,,,,
挑戦の護石Ⅲ,0,0,挑戦者,3,,,,,,,,,,,,,,,,,,,,,
無傷の護石Ⅰ,0,0,フルチャージ,1,,,,,,,,,,,,,,,,,,,,,
無傷の護石Ⅱ,0,0,フルチャージ,2,,,,,,,,,,,,,,,,,,,,,
無傷の護石Ⅲ,0,0,フルチャージ,3,,,,,,,,,,,,,,,,,,,,,
逆上の護石Ⅰ,0,0,逆恨み,1,,,,,,,,,,,,,,,,,,,,,
逆上の護石Ⅱ,0,0,逆恨み,2,,,,,,,,,,,,,,,,,,,,,
逆上の護石Ⅲ,0,0,逆恨み,3,,,,,,,,,,,,,,,,,,,,,
痛撃の護石Ⅰ,0,0,弱点特効,1,,,,,,,,,,,,,,,,,,,,,
痛撃の護石Ⅱ,0,0,弱点特効,2,,,,,,,,,,,,,,,,,,,,,
痛撃の護石Ⅲ,0,0,弱点特効,3,,,,,,,,,,,,,,,,,,,,,
全開の護石Ⅰ,0,0,力の解放,1,,,,,,,,,,,,,,,,,,,,,
全開の護石Ⅱ,0,0,力の解放,2,,,,,,,,,,,,,,,,,,,,,
全開の護石Ⅲ,0,0,力の解放,3,,,,,,,,,,,,,,,,,,,,,
渾身の護石Ⅰ,0,0,渾身,1,,,,,,,,,,,,,,,,,,,,,
渾身の護石Ⅱ,0,0,渾身,2,,,,,,,,,,,,,,,,,,,,,
渾身の護石Ⅲ,0,0,渾身,3,,,,,,,,,,,,,,,,,,,,,
早気の護石Ⅰ,0,0,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,,,
早気の護石Ⅱ,0,0,スタミナ急速回復,2,,,,,,,,,,,,,,,,,,,,,
早気の護石Ⅲ,0,0,スタミナ急速回復,3,,,,,,,,,,,,,,,,,,,,,
防御の護石Ⅰ,0,0,防御,1,,,,,,,,,,,,,,,,,,,,,
防御の護石Ⅱ,0,0,防御,2,,,,,,,,,,,,,,,,,,,,,
防御の護石Ⅲ,0,0,防御,3,,,,,,,,,,,,,,,,,,,,,
防御の護石Ⅳ,0,0,防御,4,,,,,,,,,,,,,,,,,,,,,
防御の護石Ⅴ,0,0,防御,5,,,,,,,,,,,,,,,,,,,,,
加護の護石Ⅰ,0,0,精霊の加護,1,,,,,,,,,,,,,,,,,,,,,
加護の護石Ⅱ,0,0,精霊の加護,2,,,,,,,,,,,,,,,,,,,,,
