レア度,グループ1,グループ2,グループ3,スロット1,スロット2,スロット3,スロット1タイプ,スロット2タイプ,スロット3タイプ
5,1,6,6,1,1,0,0,0,0
5,1,6,6,2,0,0,0,0,0
5,1,6,6,2,1,0,0,0,0
5,1,6,6,3,0,0,0,0,0
5,1,7,0,1,1,0,0,0,0
5,1,7,0,2,0,0,0,0,0
5,1,7,0,2,1,0,0,0,0
5,1,7,0,3,0,0,0,0,0
5,1,8,6,1,1,0,0,0,0
5,1,8,6,2,0,0,0,0,0
5,1,8,6,2,1,0,0,0,0
5,1,8,6,3,0,0,0,0,0
5,1,8,8,1,1,0,0,0,0
5,1,8,8,2,0,0,0,0,0
5,1,8,8,2,1,0,0,0,0
5,1,8,8,3,0,0,0,0,0
5,1,9,0,1,1,0,0,0,0
5,1,9,0,2,0,0,0,0,0
5,1,9,0,2,1,0,0,0,0
5,1,9,0,3,0,0,0,0,0
5,1,10,0,1,1,0,0,0,0
5,1,10,0,2,0,0,0,0,0
5,1,10,0,2,1,0,0,0,0
5,1,10,0,3,0,0,0,0,0
6,1,1,7,1,0,0,0,0,0
6,1,1,7,1,1,0,0,0,0
6,1,1,7,2,0,0,0,0,0
6,1,1,7,2,1,0,0,0,0
6,1,1,10,1,0,0,0,0,0
6,1,1,10,1,1,0,0,0,0
6,1,1,10,2,0,0,0,0,0
6,1,1,10,2,1,0,0,0,0
6,2,6,6,1,0,0,0,0,0
6,2,6,6,1,1,0,0,0,0
6,2,6,6,2,0,0,0,0,0
6,2,6,6,2,1,0,0,0,0
6,2,8,6,1,0,0,0,0,0
6,2,8,6,1,1,0,0,0,0
6,2,8,6,2,0,0,0,0,0
6,2,8,6,2,1,0,0,0,0
6,2,8,8,1,0,0,0,0,0
6,2,8,8,1,1,0,0,0,0
6,2,8,8,2,0,0,0,0,0
6,2,8,8,2,1,0,0,0,0
6,2,9,0,1,0,0,0,0,0
6,2,9,0,1,1,0,0,0,0
6,2,9,0,2,0,0,0,0,0
6,2,9,0,2,1,0,0,0,0
6,2,10,0,1,0,0,0,0,0
6,2,10,0,1,1,0,0,0,0
6,2,10,0,2,0,0,0,0,0
6,2,10,0,2,1,0,0,0,0
7,2,1,7,1,0,0,0,0,0
7,2,1,7,1,1,0,0,0,0
7,2,1,7,2,0,0,0,0,0
7,2,1,8,1,1,0,0,0,0
7,2,1,8,2,0,0,0,0,0
7,2,1,8,3,0,0,0,0,0
7,2,1,10,1,0,0,0,0,0
7,2,1,10,1,1,0,0,0,0
7,2,1,10,2,0,0,0,0,0
7,3,6,5,1,0,0,0,0,0
7,3,6,5,1,1,0,0,0,0
7,3,6,5,2,0,0,0,0,0
7,3,7,0,1,0,0,0,0,0
7,3,7,0,1,1,0,0,0,0
7,3,7,0,2,0,0,0,0,0
7,3,8,5,1,0,0,0,0,0
7,3,8,5,1,1,0,0,0,0
7,3,8,5,2,0,0,0,0,0
7,3,10,0,1,0,0,0,0,0
7,3,10,0,1,1,0,0,0,0
7,3,10,0,2,0,0,0,0,0
7,4,1,1,1,0,0,0,0,0
7,4,1,1,1,1,0,0,0,0
7,4,1,1,2,0,0,0,0,0
8,2,1,7,1,0,0,1,0,0
8,2,1,7,1,1,0,1,0,0
8,2,1,7,1,1,1,1,0,0
8,2,1,8,1,0,0,1,0,0
8,2,1,8,1,1,0,1,0,0
8,2,1,8,1,1,1,1,0,0
8,2,1,10,1,0,0,1,0,0
8,2,1,10,1,1,0,1,0,0
8,2,1,10,1,1,1,1,0,0
8,3,6,5,1,0,0,1,0,0
8,3,6,5,1,1,0,1,0,0
8,3,6,5,1,1,1,1,0,0
8,3,7,0,1,0,0,1,0,0
8,3,7,0,1,1,0,1,0,0
8,3,7,0,1,1,1,1,0,0
8,3,8,5,1,0,0,1,0,0
8,3,8,5,1,1,0,1,0,0
8,3,8,5,1,1,1,1,0,0
8,3,10,0,1,0,0,1,0,0
8,3,10,0,1,1,0,1,0,0
8,3,10,0,1,1,1,1,0,0
8,4,1,1,1,0,0,1,0,0
8,4,1,1,1,1,0,1,0,0
8,4,1,1,1,1,1,1,0,0
