名前,レア度,スロットサイズ,スロットタイプ,入手時期,スキル系統1,スキル値1,スキル系統2,スキル値2,仮番号
攻撃珠【１】,0,1,1,0,攻撃,1,,,
守勢珠【１】,0,1,1,0,攻めの守勢,1,,,
達人珠【１】,0,1,1,0,見切り,1,,,
超心珠【１】,0,1,1,0,超会心,1,,,
抜刀珠【１】,0,1,1,0,抜刀術【技】,1,,,
火炎珠【１】,0,1,1,0,火属性攻撃強化,1,,,
流水珠【１】,0,1,1,0,水属性攻撃強化,1,,,
氷結珠【１】,0,1,1,0,氷属性攻撃強化,1,,,
雷光珠【１】,0,1,1,0,雷属性攻撃強化,1,,,
破龍珠【１】,0,1,1,0,龍属性攻撃強化,1,,,
毒珠【１】,0,1,1,0,毒属性強化,1,,,
麻痺珠【１】,0,1,1,0,麻痺属性強化,1,,,
睡眠珠【１】,0,1,1,0,睡眠属性強化,1,,,
爆破珠【１】,0,1,1,0,爆破属性強化,1,,,
属会珠【１】,0,1,1,0,会心撃【属性】,1,,,
特会珠【１】,0,1,1,0,会心撃【特殊】,1,,,
溜幅珠【１】,0,1,1,0,チャージマスター,1,,,
匠珠【１】,0,1,1,0,匠,1,,,
業物珠【１】,0,1,1,0,業物,1,,,
剛刃珠【１】,0,1,1,0,剛刃研磨,1,,,
心眼珠【１】,0,1,1,0,心眼,1,,,
鈍器珠【１】,0,1,1,0,鈍器使い,1,,,
射法珠【１】,0,1,1,0,弾導強化,1,,,
初弾珠【１】,0,1,1,0,ファーストショット,1,,,
積弾珠【１】,0,1,1,0,フォースショット,1,,,
特射珠【１】,0,1,1,0,特殊射撃強化,1,,,
集中珠【１】,0,1,1,0,集中,1,,,
昂揚珠【１】,0,1,1,0,強化持続,1,,,
抜打珠【１】,0,1,1,0,抜刀術【力】,1,,,
ＫＯ珠【１】,0,1,1,0,ＫＯ術,1,,,
奪気珠【１】,0,1,1,0,スタミナ奪取,1,,,
砲術珠【１】,0,1,1,0,砲術,1,,,
速変珠【１】,0,1,1,0,高速変形,1,,,
