名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,スキル系統6,スキル値6,スキル系統7,スキル値7,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,ワンセット,仮番号
ホープアーム,1,0,0,0,0,2,,1,0,1,0,0,精霊の加護,1,,,,,,,,,,,,,,,,,,,,,,10
レザーグラブ,1,0,0,0,0,2,,2,0,0,0,0,腹減り耐性,1,,,,,,,,,,,,,,,,,,,,,,20
チェーングラブ,1,0,0,0,0,2,,0,2,0,0,0,地質学,1,,,,,,,,,,,,,,,,,,,,,,30
ボーンアーム,1,0,0,0,0,4,,2,0,2,0,2,気絶耐性,1,,,,,,,,,,,,,,,,,,,,,,40
タリオスアーム,1,0,0,0,0,4,,4,-2,-2,-2,2,革細工の柔性,1,飛び込み,1,,,,,,,,,,,,,,,,,,,,60
チャタアーム,1,0,0,0,0,6,,1,2,-3,-1,1,革細工の柔性,1,アイテム使用強化,1,,,,,,,,,,,,,,,,,,,,70
トリスアーム,1,0,0,0,0,6,,2,-3,0,-1,0,鱗張りの技法,1,ひるみ軽減,1,,,,,,,,,,,,,,,,,,,,80
アロイアーム,1,0,0,0,0,6,,-2,1,-2,-2,1,耐震,1,,,,,,,,,,,,,,,,,,,,,,90
ランゴアーム,1,0,0,0,0,4,,-2,1,1,1,2,甲虫の知らせ,1,麻痺耐性,1,,,,,,,,,,,,,,,,,,,,110
ラバラアーム,1,0,0,0,0,8,,-3,3,0,0,3,甲虫の知らせ,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,120
コンガアーム,2,0,0,0,0,8,,-3,1,1,-1,2,毛皮の昂揚,1,悪臭耐性,1,,,,,,,,,,,,,,,,,,,,130
バーラアーム,2,0,0,0,0,12,,-1,2,-3,1,1,鱗張りの技法,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,,,,140
ドシャグマアーム,2,0,0,0,0,16,,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,回復速度,1,,,,,,,,,,,,,,,,,,150
インゴットアーム,3,0,0,0,0,16,,-2,0,3,-1,0,気絶耐性,1,,,,,,,,,,,,,,,,,,,,,,160
プポルアーム,3,0,0,0,0,18,,0,-3,0,0,1,革細工の柔性,1,広域化,1,毒耐性,1,,,,,,,,,,,,,,,,,,180
スキュラアーム,3,0,0,0,0,20,,-2,2,-2,1,2,甲虫の知らせ,1,急襲,1,,,,,,,,,,,,,,,,,,,,200
ヒラバミアーム,3,0,0,0,0,22,,-3,2,-2,3,0,鱗張りの技法,1,回避性能,1,氷耐性,1,,,,,,,,,,,,,,,,,,210
アジャラアーム,3,0,0,0,0,24,,3,-3,1,-2,0,毛皮の昂揚,1,ボマー,1,クライマー,1,,,,,,,,,,,,,,,,,,220
トゥナムルアーム,4,1,0,0,0,26,,-1,4,-3,0,0,ヌシの誇り,1,波衣竜の守護,1,整備,1,,,,,,,,,,,,,,,,,,230
レダゼルトアーム,4,1,0,0,0,26,,0,-2,4,-3,0,ヌシの誇り,1,煌雷竜の力,1,力の解放,1,,,,,,,,,,,,,,,,,,240
エグゾルスアーム,4,1,0,0,0,26,,5,-4,0,1,0,ヌシの誇り,1,獄焔蛸の反逆,1,早食い,1,,,,,,,,,,,,,,,,,,250
