名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,スキル系統6,スキル値6,スキル系統7,スキル値7,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,ワンセット,仮番号
ホープメイル,1,0,0,0,0,2,,1,0,1,0,0,精霊の加護,1,,,,,,,,,,,,,,,,,,,,,,10
レザーベスト,1,0,0,0,0,2,,2,0,0,0,0,植生学,1,,,,,,,,,,,,,,,,,,,,,,20
チェーンベスト,1,0,0,0,0,2,,0,2,0,0,0,地質学,1,,,,,,,,,,,,,,,,,,,,,,30
ボーンメイル,1,0,0,0,0,4,,2,0,2,0,2,ランナー,1,,,,,,,,,,,,,,,,,,,,,,40
チャタメイル,1,0,0,0,0,6,,1,2,-3,-1,1,革細工の柔性,1,早食い,1,,,,,,,,,,,,,,,,,,,,70
トリスメイル,1,0,0,0,0,6,,2,-3,0,-1,0,鱗張りの技法,1,火耐性,1,,,,,,,,,,,,,,,,,,,,80
アロイメイル,1,0,0,0,0,6,,-2,1,-2,-2,1,耐震,1,,,,,,,,,,,,,,,,,,,,,,90
ランゴメイル,1,0,0,0,0,4,,-2,1,1,1,2,甲虫の知らせ,1,環境利用の知識,1,,,,,,,,,,,,,,,,,,,,110
ラバラメイル,1,0,0,0,0,8,,-3,3,0,0,3,甲虫の知らせ,1,麻痺耐性,1,,,,,,,,,,,,,,,,,,,,120
コンガメイル,2,0,0,0,0,8,,-3,1,1,-1,2,毛皮の昂揚,1,キノコ大好き,1,,,,,,,,,,,,,,,,,,,,130
バーラメイル,2,0,0,0,0,12,,-1,2,-3,1,1,鱗張りの技法,1,納刀術,1,,,,,,,,,,,,,,,,,,,,140
ドシャグマメイル,2,0,0,0,0,16,,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,満足感,1,,,,,,,,,,,,,,,,,,150
インゴットメイル,3,0,0,0,0,16,,-2,0,3,-1,0,風圧耐性,1,,,,,,,,,,,,,,,,,,,,,,160
