名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,スキル系統6,スキル値6,スキル系統7,スキル値7,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,ワンセット,仮番号
ホープコイル,1,0,0,0,0,2,,1,0,1,0,0,気絶耐性,1,,,,,,,,,,,,,,,,,,,,,,10
レザーベルト,1,0,0,0,0,2,,2,0,0,0,0,植生学,1,,,,,,,,,,,,,,,,,,,,,,20
チェーンベルト,1,0,0,0,0,2,,0,2,0,0,0,回復速度,1,,,,,,,,,,,,,,,,,,,,,,30
ボーンコイル,1,0,0,0,0,4,,2,0,2,0,2,ランナー,1,,,,,,,,,,,,,,,,,,,,,,40
チャタコイル,1,0,0,0,0,6,,1,2,-3,-1,1,革細工の柔性,1,早食い,1,,,,,,,,,,,,,,,,,,,,70
トリスコイル,1,0,0,0,0,6,,2,-3,0,-1,0,鱗張りの技法,1,火耐性,1,,,,,,,,,,,,,,,,,,,,80
アロイコイル,1,0,0,0,0,6,,-2,1,-2,-2,1,耐震,1,,,,,,,,,,,,,,,,,,,,,,90
ランゴコイル,1,0,0,0,0,4,,-2,1,1,1,2,甲虫の知らせ,1,麻痺耐性,1,,,,,,,,,,,,,,,,,,,,110
ラバラコイル,1,0,0,0,0,8,,-3,3,0,0,3,甲虫の知らせ,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,120
コンガコイル,2,0,0,0,0,8,,-3,1,1,-1,2,毛皮の昂揚,1,悪臭耐性,1,,,,,,,,,,,,,,,,,,,,130
バーラコイル,2,0,0,0,0,12,,-1,2,-3,1,1,鱗張りの技法,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,,,,140
ドシャグマコイル,2,0,0,0,0,16,,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,アイテム使用強化,1,,,,,,,,,,,,,,,,,,150
インゴットコイル,3,0,0,0,0,16,,-2,0,3,-1,0,精霊の加護,1,,,,,,,,,,,,,,,,,,,,,,160
プポルコイル,3,0,0,0,0,18,,0,-3,0,0,1,革細工の柔性,1,広域化,1,毒耐性,1,,,,,,,,,,,,,,,,,,180
スキュラコイル,3,0,0,0,0,20,,-2,2,-2,1,2,甲虫の知らせ,1,拘束耐性,1,睡眠耐性,1,,,,,,,,,,,,,,,,,,200
ヒラバミコイル,3,0,0,0,0,22,,-3,2,-2,3,0,鱗張りの技法,1,回避性能,1,氷耐性,1,,,,,,,,,,,,,,,,,,210
アジャラコイル,3,0,0,0,0,24,,3,-3,1,-2,0,毛皮の昂揚,1,ボマー,1,爆破やられ耐性,1,,,,,,,,,,,,,,,,,,220
トゥナムルコイル,4,0,0,0,0,26,,-1,4,-3,0,0,ヌシの誇り,1,波衣竜の守護,1,整備,1,水場・油泥適応,1,,,,,,,,,,,,,,,,230
レダゼルトコイル,4,1,0,0,0,26,,0,-2,4,-3,0,ヌシの誇り,1,煌雷竜の力,1,体術,1,,,,,,,,,,,,,,,,,,240
エグゾルスコイル,4,1,0,0,0,26,,5,-4,0,1,0,ヌシの誇り,1,獄焔蛸の反逆,1,逆恨み,1,,,,,,,,,,,,,,,,,,250
護竜セクレトコイル,4,1,0,0,0,22,,0,0,4,0,-3,護竜の脈動,1,ジャンプ鉄人,1,,,,,,,,,,,,,,,,,,,,260
護闢獣コイル,4,0,0,0,0,26,,-3,2,-1,-2,2,護竜の脈動,1,闢獣の力,1,火事場力,1,ランナー,1,,,,,,,,,,,,,,,,270
護火竜コイル,4,1,0,0,0,26,,3,1,-2,1,-5,護竜の脈動,1,火竜の力,1,威嚇,1,,,,,,,,,,,,,,,,,,280
護兇爪竜コイル,4,0,0,0,0,26,,-2,-3,-2,-2,4,護竜の脈動,1,兇爪竜の力,1,連撃,1,裂傷耐性,1,,,,,,,,,,,,,,,,290
シーウーコイル,4,0,0,0,0,26,,1,1,1,-3,2,革細工の柔性,1,渾身,1,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,300
護鎖刃竜コイル,4,1,1,0,0,30,,2,0,-1,0,-4,護竜の脈動,1,護鎖刃竜の命脈,1,属性やられ耐性,1,,,,,,,,,,,,,,,,,,310
ホープコイルα,5,1,0,0,0,26,,1,0,1,0,0,精霊の加護,1,気絶耐性,1,,,,,,,,,,,,,,,,,,,,320
レザーベルトα,5,1,1,0,0,26,,2,0,0,0,0,腹減り耐性,1,,,,,,,,,,,,,,,,,,,,,,330
チェーンベルトα,5,1,0,0,0,26,,0,2,0,0,0,回復速度,1,氷耐性,1,,,,,,,,,,,,,,,,,,,,340
