グループ,スキル名,レベル
1,砲術,1
1,攻撃,1
1,弾導強化,1
1,爆破属性強化,1
1,鈍器使い,1
1,チャージマスター,1
1,抜刀術【技】,1
1,会心撃【属性】,1
1,見切り,1
1,会心撃【特殊】,1
1,龍属性攻撃強化,1
1,火属性攻撃強化,1
1,集中,1
1,ガード性能,1
1,ガード強化,1
1,匠,1
1,笛吹き名人,1
1,氷属性攻撃強化,1
1,砲弾装填,1
1,心眼,1
1,攻めの守勢,1
1,ファーストショット,1
1,麻痺属性強化,1
1,毒属性強化,1
1,強化持続,1
1,剛刃研磨,1
1,抜刀術【力】,1
1,高速変形,1
1,業物,1
1,睡眠属性強化,1
1,ＫＯ術,1
1,特殊射撃強化,1
1,砥石使用高速化,1
1,スタミナ奪取,1
1,フォースショット,1
1,雷属性攻撃強化,1
1,水属性攻撃強化,1
2,飛燕,1
2,砲術,2
2,攻撃,2
2,弾導強化,2
2,爆破属性強化,2
2,爆破ビン追加,1
2,鈍器使い,2
2,チャージマスター,2
2,溜打強化,1
2,抜刀術【技】,2
2,会心撃【属性】,2
2,見切り,2
2,会心撃【特殊】,2
2,龍属性攻撃強化,2
2,減気ビン追加,1
2,火属性攻撃強化,2
2,集中,2
2,ガード性能,2
2,ガード強化,2
2,匠,2
2,笛吹き名人,2
2,氷属性攻撃強化,2
2,砲弾装填,2
2,心眼,2
2,攻めの守勢,2
2,ファーストショット,2
2,麻痺属性強化,2
2,毒属性強化,2
2,毒ダメージ強化,1
2,毒ビン追加,1
2,強化持続,2
2,剛刃研磨,2
2,抜刀術【力】,2
2,高速変形,2
2,業物,2
2,睡眠属性強化,2
2,ＫＯ術,2
2,特殊射撃強化,2
2,砥石使用高速化,2
2,スタミナ奪取,2
2,フォースショット,2
2,雷属性攻撃強化,2
2,水属性攻撃強化,2
3,砲術,3
3,攻撃,3
3,弾導強化,3
3,爆破属性強化,3
3,鈍器使い,3
3,チャージマスター,3
3,抜刀術【技】,3
3,会心撃【属性】,3
3,見切り,3
3,会心撃【特殊】,3
3,龍属性攻撃強化,3
3,火属性攻撃強化,3
3,集中,3
3,ガード性能,3
3,ガード強化,3
3,匠,3
3,氷属性攻撃強化,3
3,達人芸,1
3,心眼,3
3,通常弾・通常矢強化,1
3,攻めの守勢,3
3,ファーストショット,3
3,麻痺ビン追加,1
3,麻痺属性強化,3
3,貫通弾・竜の矢強化,1
3,毒属性強化,3
3,強化持続,3
3,剛刃研磨,3
3,抜刀術【力】,3
3,速射強化,1
3,高速変形,3
3,業物,3
3,睡眠属性強化,3
3,睡眠ビン追加,1
3,ＫＯ術,3
3,散弾・剛射強化,1
3,スタミナ奪取,3
3,フォースショット,3
3,雷属性攻撃強化,3
3,水属性攻撃強化,3
4,攻撃,2
4,弾導強化,2
4,爆破属性強化,2
4,超会心,1
4,会心撃【属性】,2
4,見切り,2
4,龍属性攻撃強化,2
4,火属性攻撃強化,2
4,ガード性能,2
4,ガード強化,2
4,匠,2
4,氷属性攻撃強化,2
4,ファーストショット,2
4,麻痺属性強化,2
4,毒属性強化,2
4,剛刃研磨,2
4,業物,2
4,睡眠属性強化,2
4,フォースショット,2
4,雷属性攻撃強化,2
4,水属性攻撃強化,2
5,環境適応,1
5,無我の境地,1
5,水場・油泥適応,1
5,拘束耐性,1
5,爆破やられ耐性,1
5,裂傷耐性,1
5,ボマー,1
5,植生学,2
5,体術,2
5,防御,2
5,精霊の加護,1
5,龍耐性,1
5,火耐性,1
5,ひるみ軽減,1
5,満足感,1
5,地質学,1
5,腹減り耐性,1
5,氷耐性,1
5,威嚇,1
5,防御力ＤＯＷＮ耐性,1
5,アイテム使用強化,1
5,ランナー,1
5,麻痺耐性,1
5,毒耐性,1
5,納刀術,1
5,回復速度,1
5,体力回復量ＵＰ,1
5,睡眠耐性,1
5,早食い,1
5,悪臭耐性,1
5,気絶耐性,1
5,環境利用の知識,1
5,雷耐性,1
5,耐震,1
5,水耐性,1
5,広域化,2
5,風圧耐性,1
6,環境適応,2
6,無我の境地,2
6,水場・油泥適応,2
6,拘束耐性,2
6,爆破やられ耐性,2
6,裂傷耐性,2
6,ボマー,2
6,植生学,3
6,体術,3
6,防御,3
6,精霊の加護,2
6,龍耐性,2
6,火耐性,2
6,ひるみ軽減,2
6,満足感,2
6,地質学,2
6,腹減り耐性,2
6,氷耐性,2
6,威嚇,2
6,防御力ＤＯＷＮ耐性,2
6,アイテム使用強化,2
6,ランナー,2
6,麻痺耐性,2
6,毒耐性,2
6,納刀術,2
6,回復速度,2
6,体力回復量ＵＰ,2
6,睡眠耐性,2
6,早食い,2
6,悪臭耐性,2
6,気絶耐性,2
6,環境利用の知識,2
6,雷耐性,2
6,耐震,2
6,水耐性,2
6,広域化,3
6,風圧耐性,2
7,無我の境地,3
7,拘束耐性,3
7,爆破やられ耐性,3
7,裂傷耐性,3
7,ボマー,3
7,植生学,4
7,体術,4
7,防御,4
7,精霊の加護,3
7,龍耐性,3
7,火耐性,3
7,ひるみ軽減,3
7,満足感,3
7,地質学,3
7,腹減り耐性,3
7,氷耐性,3
7,威嚇,3
7,防御力ＤＯＷＮ耐性,3
7,アイテム使用強化,3
7,ランナー,3
7,麻痺耐性,3
7,毒耐性,3
7,納刀術,3
7,回復速度,3
7,体力回復量ＵＰ,3
7,睡眠耐性,3
7,早食い,3
7,気絶耐性,3
7,環境利用の知識,3
7,雷耐性,3
7,耐震,3
7,水耐性,3
7,広域化,4
7,風圧耐性,3
8,急襲,1
8,属性やられ耐性,1
8,災禍転福,1
8,逆襲,1
8,耳栓,1
8,回避距離ＵＰ,1
8,回避性能,2
8,火事場力,2
8,渾身,1
8,キノコ大好き,1
8,破壊王,1
8,フルチャージ,1
8,逆恨み,1
8,スタミナ急速回復,1
8,整備,2
9,急襲,2
9,属性やられ耐性,2
9,災禍転福,2
