スキル系統,発動スキル,必要ポイント,カテゴリ,効果,アーティア対応
攻撃,,5,武器スキル(攻撃力),,
攻めの守勢,,3,武器スキル(攻撃力),,
白熾の奔流,,1,武器スキル(攻撃力),,
パワーストーン,,1,武器スキル(攻撃力),,
暗黒,,1,武器スキル(攻撃力),,
解キ放ツ鏡刃ノ破片,,1,武器スキル(攻撃力),,
見切り,,5,武器スキル(会心率),,
超会心,,5,武器スキル(会心率),,
抜刀術【技】,,3,武器スキル(会心率),,
濡れ刃紋,,3,武器スキル(会心率),,
連携プログラム,,1,武器スキル(会心率),,
匠,,5,武器スキル(斬れ味),,
業物,,3,武器スキル(斬れ味),,
剛刃研磨,,3,武器スキル(斬れ味),,
心眼,,3,武器スキル(斬れ味),,
鈍器使い,,3,武器スキル(斬れ味),,
達人芸,,1,武器スキル(斬れ味),,
砥石使用高速化,,2,武器スキル(斬れ味),,
刃鱗研装,,1,武器スキル(斬れ味),,
炎の料理人,,1,武器スキル(斬れ味),,
火属性攻撃強化,,3,武器スキル(属性・異常),,
水属性攻撃強化,,3,武器スキル(属性・異常),,
雷属性攻撃強化,,3,武器スキル(属性・異常),,
氷属性攻撃強化,,3,武器スキル(属性・異常),,
龍属性攻撃強化,,3,武器スキル(属性・異常),,
毒属性強化,,3,武器スキル(属性・異常),,
麻痺属性強化,,3,武器スキル(属性・異常),,
睡眠属性強化,,3,武器スキル(属性・異常),,
爆破属性強化,,3,武器スキル(属性・異常),,
毒ダメージ強化,,1,武器スキル(属性・異常),,
会心撃【特殊】,,3,武器スキル(属性・異常),,
会心撃【属性】,,3,武器スキル(属性・異常),,
チャージマスター,,3,武器スキル(属性・異常),,
耐性変換【雷】,,1,武器スキル(属性・異常),,
耐性変換【水】,,1,武器スキル(属性・異常),,
ガード性能,,3,武器スキル(ガード),,
ガード強化,,3,武器スキル(ガード),,
通常弾・通常矢強化,,1,武器スキル(ガンナー),,
貫通弾・竜の矢強化,,1,武器スキル(ガンナー),,
散弾・剛射強化,,1,武器スキル(ガンナー),,
弾導強化,,3,武器スキル(ガンナー),,
速射強化,,1,武器スキル(ガンナー),,
特殊射撃強化,,2,武器スキル(ガンナー),,
毒ビン追加,,1,武器スキル(ガンナー),,
麻痺ビン追加,,1,武器スキル(ガンナー),,
睡眠ビン追加,,1,武器スキル(ガンナー),,
爆破ビン追加,,1,武器スキル(ガンナー),,
減気ビン追加,,1,武器スキル(ガンナー),,
ファーストショット,,3,武器スキル(ガンナー),,
フォースショット,,3,武器スキル(ガンナー),,
刃鱗増装,,1,武器スキル(ガンナー),,
回避装填,,1,武器スキル(ガンナー),,
集中,,3,武器スキル(その他),,
抜刀術【力】,,3,武器スキル(その他),,
ＫＯ術,,3,武器スキル(その他),,
スタミナ奪取,,3,武器スキル(その他),,
砲術,,3,武器スキル(その他),,
高速変形,,3,武器スキル(その他),,
笛吹き名人,,2,武器スキル(その他),,
溜打強化,,1,武器スキル(その他),,
飛燕,,1,武器スキル(その他),,
砲弾装填,,2,武器スキル(その他),,
強化持続,,3,武器スキル(その他),,
焼き砲モロコシ,,1,武器スキル(その他),,
シールドオプション,,1,武器スキル(その他),,
にゃんにゃんぼう,,1,武器スキル(その他),,
逆恨み,,5,防具スキル(火力),,
巧撃,,5,防具スキル(火力),,
フルチャージ,,5,防具スキル(火力),,
逆襲,,3,防具スキル(火力),,
弱点特効,,5,防具スキル(火力),,
渾身,,3,防具スキル(火力),,
力の解放,,5,防具スキル(火力),,
火事場力,,5,防具スキル(火力),,
