武器種,名前,レア度,スロット1,スロット2,スロット3,入手時期,表示攻撃力,防御ボーナス,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,スキル系統6,スキル値6,スキル系統7,スキル値7,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,仮番号
大剣,ホープブレイドⅠ,0,0,0,0,0,90,0,,,,,,,,,,,,,,,,,,,,,,,
大剣,ホープブレイドⅡ,0,0,0,0,0,100,0,砥石使用高速化,1,,,,,,,,,,,,,,,,,,,,,
大剣,ホープブレイドⅢ,0,0,0,0,0,130,0,砥石使用高速化,1,見切り,1,,,,,,,,,,,,,,,,,,,
大剣,ホープブレイドⅣ,0,2,1,0,0,160,0,砥石使用高速化,2,見切り,1,,,,,,,,,,,,,,,,,,,
大剣,ホープブレイドⅤ,0,3,2,0,0,190,0,砥石使用高速化,2,見切り,1,,,,,,,,,,,,,,,,,,,
大剣,ヴァルキリーブレイドⅠ,0,2,1,0,0,160,0,会心撃【特殊】,2,毒ダメージ強化,1,,,,,,,,,,,,,,,,,,,
大剣,ヴァルキリーブレイドⅡ,0,3,2,0,0,190,0,会心撃【特殊】,3,毒ダメージ強化,1,,,,,,,,,,,,,,,,,,,
大剣,ジークリンデ,0,3,2,1,0,210,0,会心撃【特殊】,3,毒ダメージ強化,1,,,,,,,,,,,,,,,,,,,
大剣,ザンシュトウ【鶏】Ⅰ,0,2,1,0,0,180,0,集中,1,チャージマスター,1,,,,,,,,,,,,,,,,,,,
大剣,ザンシュトウ【鶏】Ⅱ,0,2,1,0,0,210,0,集中,2,チャージマスター,2,,,,,,,,,,,,,,,,,,,
大剣,ザンシュトウ【軍鶏】,0,3,2,1,0,220,0,集中,2,チャージマスター,2,,,,,,,,,,,,,,,,,,,
大剣,虚無の大剣Ⅰ,0,1,0,0,0,160,0,抜刀術【技】,2,,,,,,,,,,,,,,,,,,,,,
大剣,虚無の大剣Ⅱ,0,2,1,1,0,190,0,抜刀術【技】,2,,,,,,,,,,,,,,,,,,,,,
大剣,暗大剣プルガヴル,0,3,2,1,0,220,0,抜刀術【技】,3,,,,,,,,,,,,,,,,,,,,,
大剣,ケマスエスパダⅠ,0,0,0,0,0,100,0,抜刀術【力】,1,,,,,,,,,,,,,,,,,,,,,
大剣,ケマスエスパダⅡ,0,0,0,0,0,140,0,抜刀術【力】,2,,,,,,,,,,,,,,,,,,,,,
大剣,ケマスエスパダⅢ,0,2,1,0,0,170,0,抜刀術【力】,2,,,,,,,,,,,,,,,,,,,,,
大剣,ケマスエスパダⅣ,0,3,2,0,0,210,0,抜刀術【力】,3,,,,,,,,,,,,,,,,,,,,,
大剣,炎尾大剣ブレイズデル,0,3,2,1,0,240,0,抜刀術【力】,3,,,,,,,,,,,,,,,,,,,,,
大剣,バスターソードⅠ,0,0,0,0,0,120,0,抜刀術【技】,1,,,,,,,,,,,,,,,,,,,,,
大剣,バスターソードⅡ,0,1,0,0,0,160,0,抜刀術【技】,2,,,,,,,,,,,,,,,,,,,,,
大剣,バスターソードⅢ,0,2,1,0,0,190,0,抜刀術【技】,3,,,,,,,,,,,,,,,,,,,,,
大剣,ブレイズブレイド,0,3,2,1,0,220,0,抜刀術【技】,3,,,,,,,,,,,,,,,,,,,,,
大剣,ダハ・タルバールⅠ,0,3,2,0,0,190,0,集中,2,,,,,,,,,,,,,,,,,,,,,
大剣,断崖のミダラム,0,3,2,1,0,210,0,集中,3,,,,,,,,,,,,,,,,,,,,,
大剣,アルラスウィングⅠ,0,1,0,0,0,160,0,達人芸,1,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,
大剣,アルラスウィングⅡ,0,2,1,0,0,180,0,達人芸,1,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,
大剣,白炎剣リオガルディア,0,3,2,1,0,210,0,達人芸,1,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,
